locations,TotalPopulation,FemalePopulation,MalePopulation,UrbanPopulation,RuralPopulation
wikidataId/Q1858,7520.7,3811.4,3709.3,4859.5,2661.2
wikidataId/Q27566,1092.4,551.5,540.9,273.6,818.8
wikidataId/Q33381,1247.5,641.2,606.3,353.6,893.9
wikidataId/Q33396,1266.5,627.4,639.1,809.4,457.1
wikidataId/Q36354,1807.5,921.5,886.0,456.8,1350.7
wikidataId/Q72818,2013.8,1011.7,1002.1,941.9,1071.9
wikidataId/Q36485,1188.9,605.7,583.2,154.8,1034.1
wikidataId/Q36497,1793.2,926.0,867.2,188.6,1604.6
wikidataId/Q36413,808.2,408.4,399.8,128.2,680.0
wikidataId/Q33682,1854.4,945.6,908.8,347.6,1506.8
wikidataId/Q33929,973.3,487.3,486.0,205.8,767.5
wikidataId/Q36685,846.5,419.3,427.2,127.6,718.9
wikidataId/Q36865,540.4,271.3,269.1,125.5,414.9
wikidataId/Q36404,327.9,169.8,158.1,61.6,266.3
wikidataId/Q33389,780.1,400.2,379.9,108.1,672.0
wikidataId/Q36446,705.6,349.2,356.4,161.7,543.9
wikidataId/Q26019,815.6,408.0,407.6,168.6,647.0
wikidataId/Q26575,1268.3,643.3,625.0,447.4,820.9
wikidataId/Q33383,790.5,394.2,396.3,160.2,630.3
wikidataId/Q36367,1691.8,851.2,840.6,194.5,1497.3
wikidataId/Q36610,1404.2,711.4,692.8,268.2,1136.0
wikidataId/Q36955,576.7,287.7,289.0,87.2,489.5
wikidataId/Q36409,456.3,225.0,231.3,78.8,377.5
wikidataId/Q33379,1242.7,617.1,625.6,169.8,1072.9
wikidataId/Q36015,846.1,423.0,423.1,124.8,721.3
wikidataId/Q36955,3558.2,1771.4,1786.8,616.1,2942.1
wikidataId/Q36587,3157.1,1585.6,1571.5,475.4,2681.7
wikidataId/Q33351,1277.5,648.8,628.7,239.5,1038.0
wikidataId/Q23533,887.6,443.3,444.3,175.9,711.7
wikidataId/Q36579,630.6,320.6,310.0,190.9,439.7
wikidataId/Q36399,1163.6,583.1,580.5,568.6,595.0
wikidataId/Q25282,1080.7,545.5,535.2,948.9,131.8
wikidataId/Q33356,1501.1,766.9,734.2,364.5,1136.6
wikidataId/Q33304,1272.8,629.0,643.8,192.9,1079.9
wikidataId/Q36693,1534.8,785.2,749.6,475.5,1059.3
wikidataId/Q36725,909.5,454.5,455.0,264.9,644.6
wikidataId/Q33369,1232.4,625.9,606.5,555.0,677.4
wikidataId/Q36903,611.8,303.2,308.6,221.5,390.3
wikidataId/Q36869,1239.2,618.6,620.6,487.7,751.5
wikidataId/Q36315,535.0,253.2,281.8,189.7,345.3
wikidataId/Q36662,1458.5,731.2,727.3,450.5,1008.0
wikidataId/Q36690,1919.2,953.4,965.8,474.8,1444.4
wikidataId/Q36723,645.4,317.1,328.3,98.6,546.8
wikidataId/Q36721,1312.9,651.6,661.3,522.8,790.1
wikidataId/Q36672,979.6,487.7,491.9,215.2,764.4
wikidataId/Q130391,1133.4,560.2,573.2,255.9,877.5
wikidataId/Q36866,2163.6,1118.5,1045.1,1691.3,472.3
wikidataId/Q33271,3086.1,1595.8,1490.3,1098.8,1987.3
wikidataId/Q36874,1112.9,554.6,558.3,582.7,530.2
wikidataId/Q1854,8598.7,4473.1,4125.6,6917.7,1681.0
wikidataId/Q26573,1503.1,756.7,746.4,271.0,1232.1
wikidataId/Q36666,1762.3,897.9,864.4,272.9,1489.4
wikidataId/Q33366,1268.2,643.9,624.3,137.2,1131.0
wikidataId/Q36615,1049.8,538.2,511.6,191.9,857.9
wikidataId/Q7333405,1051.8,533.2,518.6,178.8,873.0
wikidataId/Q36676,1693.3,850.1,843.2,300.8,1392.5
wikidataId/Q36592,2164.2,1092.6,1071.6,666.8,1497.4
wikidataId/Q36576,1810.5,906.7,903.8,528.5,1282.0
wikidataId/Q216075,1282.3,643.5,638.8,862.5,419.8
wikidataId/Q36320,776.7,403.4,373.3,197.0,579.7
wikidataId/Q33272,1315.9,663.2,652.7,402.7,913.2
wikidataId/Q36658,897.0,450.8,446.2,261.4,635.6
wikidataId/Q33354,1229.6,614.2,615.4,279.4,950.2
