locations,TotalPopulation,FemalePopulation,MalePopulation,UrbanPopulation,RuralPopulation
wikidataId/Q1858,7420.1,3771.7,3648.4,4367.1,3053.0
wikidataId/Q27566,1079.5,545.7,533.8,251.5,828.0
wikidataId/Q33381,1215.3,622.1,593.2,344.5,870.8
wikidataId/Q33396,1245.3,616.8,628.5,795.8,449.5
wikidataId/Q36354,1797.2,916.6,880.6,452.9,1344.3
wikidataId/Q72818,1997.7,1004.0,993.7,934.1,1063.6
wikidataId/Q36485,1176.3,599.3,577.0,152.1,1024.2
wikidataId/Q36497,1791.5,925.4,866.1,188.2,1603.3
wikidataId/Q36413,805.7,407.2,398.5,127.0,678.7
wikidataId/Q33682,1853.3,945.0,908.3,339.1,1514.2
wikidataId/Q33929,961.9,481.7,480.2,201.1,760.8
wikidataId/Q36685,833.7,413.5,420.2,125.2,708.5
wikidataId/Q36865,535.4,269.4,266.0,124.2,411.2
wikidataId/Q36404,323.2,165.8,157.4,60.7,262.5
wikidataId/Q33389,773.5,394.9,378.6,106.3,667.2
wikidataId/Q36446,694.4,343.4,351.0,158.8,535.6
wikidataId/Q26019,807.3,404.0,403.3,166.0,641.3
wikidataId/Q26575,1255.1,638.2,616.9,440.5,814.6
wikidataId/Q33383,779.9,389.0,390.9,155.8,624.1
wikidataId/Q36367,1674.4,842.5,831.9,191.4,1483.0
wikidataId/Q36610,1392.9,705.8,687.1,262.5,1130.4
wikidataId/Q36955,566.9,283.2,283.7,85.6,481.3
wikidataId/Q36409,446.1,227.9,218.2,77.4,368.7
wikidataId/Q33379,1226.0,609.1,616.9,167.2,1058.8
wikidataId/Q36015,838.8,419.7,419.1,123.9,714.9
wikidataId/Q36955,3544.4,1771.5,1772.9,609.2,2935.2
wikidataId/Q36587,3131.3,1569.9,1561.4,471.1,2660.2
wikidataId/Q33351,1272.2,646.5,625.7,232.4,1039.8
wikidataId/Q23533,882.5,440.8,441.7,173.8,708.7
wikidataId/Q36579,627.3,319.0,308.3,188.0,439.3
wikidataId/Q36399,1154.3,578.9,575.4,563.4,590.9
wikidataId/Q25282,1064.1,538.5,525.6,932.4,131.7
wikidataId/Q33356,1493.8,763.2,730.6,361.8,1132.0
wikidataId/Q33304,1263.7,624.5,639.2,191.5,1072.2
wikidataId/Q36693,1529.0,782.2,746.8,474.5,1054.5
wikidataId/Q36725,904.4,451.8,452.6,263.0,641.4
wikidataId/Q33369,1222.2,620.8,601.4,550.2,672.0
wikidataId/Q36903,607.0,300.8,306.2,219.8,387.2
wikidataId/Q36869,1230.4,614.6,615.8,483.7,746.7
wikidataId/Q36315,520.0,244.6,275.4,184.7,335.3
wikidataId/Q36662,1437.4,727.1,710.3,432.6,1004.8
wikidataId/Q36690,1896.6,942.2,954.4,465.8,1430.8
wikidataId/Q36723,628.1,305.2,322.9,95.3,532.8
wikidataId/Q36721,1298.9,644.5,654.4,510.3,788.6
wikidataId/Q36672,968.9,487.8,481.1,193.1,775.8
wikidataId/Q130391,1126.2,559.8,566.4,252.8,873.4
wikidataId/Q36866,2071.0,1070.7,1000.3,1577.9,493.1
wikidataId/Q33271,3027.3,1562.5,1464.8,1069.0,1958.3
wikidataId/Q36874,1101.6,549.7,551.9,571.7,529.9
wikidataId/Q1854,8445.6,4401.5,4044.1,6828.7,1616.9
wikidataId/Q26573,1496.8,753.5,743.3,269.9,1226.9
wikidataId/Q36666,1751.8,892.6,859.2,271.4,1480.4
wikidataId/Q33366,1266.7,643.8,622.9,135.1,1131.6
wikidataId/Q36615,1045.6,534.6,511.0,189.1,856.5
wikidataId/Q7333405,1050.2,532.5,517.7,178.2,872.0
wikidataId/Q36676,1690.3,848.6,841.7,300.3,1390.0
wikidataId/Q36592,2161.7,1091.2,1070.5,664.7,1497.0
wikidataId/Q36576,1792.6,894.4,898.2,528.4,1264.2
wikidataId/Q216075,1272.8,639.0,633.8,853.9,418.9
wikidataId/Q36320,774.6,398.8,375.8,194.2,580.4
wikidataId/Q33272,1314.3,662.4,651.9,402.2,912.1
wikidataId/Q36658,894.3,447.3,447.0,261.9,632.4
wikidataId/Q33354,1226.3,612.1,614.2,278.2,948.1
