locations,TotalPopulation,FemalePopulation,MalePopulation,UrbanPopulation,RuralPopulation
wikidataId/Q1858,8246.5,4163.1,4083.5,4061.1,4185.5
wikidataId/Q27566,1171.2,587.5,583.7,351.0,820.2
wikidataId/Q33381,1419.1,720.1,699.0,446.6,972.6
wikidataId/Q33396,1337.6,657.4,680.2,861.9,475.7
wikidataId/Q36354,1916.8,960.3,956.5,617.5,1299.3
wikidataId/Q72818,2053.5,1037.8,1015.6,932.5,1120.9
wikidataId/Q36485,1269.1,632.7,636.4,209.7,1059.4
wikidataId/Q36497,1870.2,958.8,911.4,219.5,1650.8
wikidataId/Q36413,861.8,437.2,424.6,239.7,622.1
wikidataId/Q33682,1780.3,908.1,872.2,360.1,1420.2
wikidataId/Q33929,993.9,497.9,496.0,212.6,781.3
wikidataId/Q36685,870.2,430.6,439.6,137.9,732.4
wikidataId/Q36865,533.1,266.1,267.0,126.0,407.1
wikidataId/Q36404,316.5,155.4,161.0,70.5,246.0
wikidataId/Q33389,792.9,393.7,399.2,109.6,683.3
wikidataId/Q36446,746.4,366.2,380.1,177.0,569.4
wikidataId/Q26019,831.6,413.0,418.6,169.3,662.3
wikidataId/Q26575,1307.9,668.9,638.9,419.7,888.2
wikidataId/Q33383,788.7,385.3,403.4,181.7,607.0
wikidataId/Q36367,1841.6,916.2,925.5,334.0,1507.6
wikidataId/Q36610,1481.9,746.3,735.6,281.8,1200.0
wikidataId/Q36955,613.5,302.0,311.5,88.1,525.4
wikidataId/Q36409,469.8,231.4,238.4,82.2,387.6
wikidataId/Q33379,1270.6,626.1,644.5,176.1,1094.5
wikidataId/Q36015,861.2,428.5,432.8,205.4,655.8
wikidataId/Q36955,3664.9,1843.5,1821.5,853.3,2811.7
wikidataId/Q36587,3365.2,1680.2,1685.0,521.6,2843.6
wikidataId/Q33351,1296.6,654.5,642.2,287.8,1008.9
wikidataId/Q23533,902.0,449.1,452.8,207.1,694.9
wikidataId/Q36579,637.3,321.3,315.9,199.8,437.4
wikidataId/Q36399,1133.7,572.4,561.3,562.3,571.4
wikidataId/Q25282,1169.5,590.9,578.6,1020.4,149.0
wikidataId/Q33356,1505.0,764.7,740.4,396.2,1108.8
wikidataId/Q33304,1233.4,623.7,609.7,260.2,973.2
wikidataId/Q36693,1487.9,755.1,732.8,599.9,888.0
wikidataId/Q36725,874.3,434.6,439.7,285.9,588.4
wikidataId/Q33369,1240.4,622.7,617.7,525.9,714.6
wikidataId/Q36903,593.6,293.8,299.9,209.6,384.0
wikidataId/Q36869,1239.3,616.1,623.1,472.1,767.1
wikidataId/Q36315,555.6,276.7,279.0,181.9,373.7
wikidataId/Q36662,1541.8,768.7,773.1,447.2,1094.6
wikidataId/Q36690,1886.9,934.7,952.2,466.5,1420.5
wikidataId/Q36723,637.9,311.2,326.7,97.5,540.4
wikidataId/Q36721,1309.8,650.2,659.6,514.2,795.6
wikidataId/Q36672,1011.1,501.4,509.6,243.1,768.0
wikidataId/Q130391,1178.3,588.8,589.5,381.1,797.2
wikidataId/Q36866,2580.6,1258.8,1321.7,2178.2,402.4
wikidataId/Q33271,3177.4,1564.3,1613.1,1406.7,1770.7
wikidataId/Q36874,1167.9,589.0,579.0,672.3,495.6
wikidataId/Q1854,9227.6,4733.8,4493.8,7391.3,1836.3
wikidataId/Q26573,1713.7,858.2,855.5,312.5,1401.1
wikidataId/Q36666,1772.5,903.7,868.9,248.5,1524.0
wikidataId/Q33366,1292.4,659.3,633.1,126.7,1165.7
wikidataId/Q36615,1009.9,513.0,496.9,175.8,834.1
wikidataId/Q7333405,1023.0,519.0,503.9,232.1,790.9
wikidataId/Q36676,1600.0,800.8,799.2,304.9,1295.1
wikidataId/Q36592,1904.5,958.9,945.6,601.6,1302.9
wikidataId/Q36576,1728.9,852.3,876.5,491.8,1237.1
wikidataId/Q216075,1240.7,624.6,616.1,868.8,371.9
wikidataId/Q36320,729.8,362.4,367.4,204.1,525.7
wikidataId/Q33272,1195.7,599.8,595.9,386.6,809.1
wikidataId/Q36658,913.5,456.4,457.1,254.7,658.7
wikidataId/Q33354,1193.9,589.2,604.7,271.1,922.8
